status,status_desc,road_name,时间,路况描述
1,双向畅通,东大桥斜街,2023-03-16 16:35:34,东大桥斜街：双向畅通。
2,自北向南拥堵；自南向北畅通,东大桥路,2023-03-16 16:35:35,东大桥路：自北向南拥堵；自南向北畅通。
1,自南向北畅通,东大桥路辅路,2023-03-16 16:35:35,东大桥路辅路：自南向北畅通。
1,双向畅通,东草园胡同,2023-03-16 16:35:35,东草园胡同：双向畅通。
1,双向畅通,关东店北街,2023-03-16 16:35:35,关东店北街：双向畅通。
2,自北向南畅通；自南向北拥堵,南三里屯路,2023-03-16 16:35:35,南三里屯路：自北向南畅通；自南向北拥堵。
2,自北向南拥堵；自南向北畅通,工人体育场东路,2023-03-16 16:35:36,工人体育场东路：自北向南拥堵；自南向北畅通。
3,拥堵,工人体育场南路,2023-03-16 16:35:36,"工人体育场南路：拥堵；西向东,从工人体育场东路辅路到南三里屯路严重拥堵。"
1,自东向西畅通,日坛东一街,2023-03-16 16:35:36,日坛东一街：自东向西畅通。
1,自西向东畅通,日坛东二街,2023-03-16 16:35:36,日坛东二街：自西向东畅通。
2,自北向南轻微拥堵；自南向北畅通,日坛东路,2023-03-16 16:35:36,日坛东路：自北向南轻微拥堵；自南向北畅通。
1,双向畅通,日坛北路,2023-03-16 16:35:37,日坛北路：双向畅通。
1,双向畅通,景东街,2023-03-16 16:35:37,景东街：双向畅通。
1,双向畅通,景华北街,2023-03-16 16:35:37,景华北街：双向畅通。
1,双向畅通,朝外南街,2023-03-16 16:35:37,朝外南街：双向畅通。
1,双向畅通,朝阳北路,2023-03-16 16:35:38,朝阳北路：双向畅通。
1,双向畅通,朝阳门外大街,2023-03-16 16:35:38,朝阳门外大街：双向畅通。
1,双向畅通,朝阳门外大街辅路,2023-03-16 16:35:38,朝阳门外大街辅路：双向畅通。
1,双向畅通,秀水东街,2023-03-16 16:35:38,秀水东街：双向畅通。
1,双向畅通,芳草地北巷,2023-03-16 16:35:38,芳草地北巷：双向畅通。
1,双向畅通,芳草地西巷,2023-03-16 16:35:39,芳草地西巷：双向畅通。
1,双向畅通,芳草地西街,2023-03-16 16:35:39,芳草地西街：双向畅通。
1,双向畅通,金桐西路,2023-03-16 16:35:39,金桐西路：双向畅通。
1,双向畅通,金汇路,2023-03-16 16:35:40,金汇路：双向畅通。
1,双向畅通,东大桥斜街,2023-03-16 16:42:42,东大桥斜街：双向畅通。
2,自北向南拥堵；自南向北畅通,东大桥路,2023-03-16 16:42:42,"东大桥路：自北向南拥堵；自南向北畅通；北向南,从东大桥路辅路路口到前海瑞洋严重拥堵。"
1,自南向北畅通,东大桥路辅路,2023-03-16 16:42:42,东大桥路辅路：自南向北畅通。
1,双向畅通,东草园胡同,2023-03-16 16:42:42,东草园胡同：双向畅通。
1,双向畅通,关东店北街,2023-03-16 16:42:43,关东店北街：双向畅通。
3,双向拥堵,南三里屯路,2023-03-16 16:42:43,南三里屯路：双向拥堵。
2,自北向南拥堵；自南向北畅通,工人体育场东路,2023-03-16 16:42:43,工人体育场东路：自北向南拥堵；自南向北畅通。
3,拥堵,工人体育场南路,2023-03-16 16:42:43,工人体育场南路：拥堵。
1,自东向西畅通,日坛东一街,2023-03-16 16:42:43,日坛东一街：自东向西畅通。
1,自西向东畅通,日坛东二街,2023-03-16 16:42:44,日坛东二街：自西向东畅通。
2,自北向南轻微拥堵；自南向北畅通,日坛东路,2023-03-16 16:42:44,日坛东路：自北向南轻微拥堵；自南向北畅通。
1,双向畅通,日坛北路,2023-03-16 16:42:44,日坛北路：双向畅通。
1,双向畅通,景东街,2023-03-16 16:42:44,景东街：双向畅通。
1,双向畅通,景华北街,2023-03-16 16:42:45,景华北街：双向畅通。
1,双向畅通,朝外南街,2023-03-16 16:42:45,朝外南街：双向畅通。
1,双向畅通,朝阳北路,2023-03-16 16:42:45,朝阳北路：双向畅通。
2,自东向西畅通；自西向东拥堵,朝阳门外大街,2023-03-16 16:42:45,朝阳门外大街：自东向西畅通；自西向东拥堵。
1,双向畅通,朝阳门外大街辅路,2023-03-16 16:42:45,朝阳门外大街辅路：双向畅通。
1,双向畅通,秀水东街,2023-03-16 16:42:45,秀水东街：双向畅通。
1,双向畅通,芳草地北巷,2023-03-16 16:42:46,芳草地北巷：双向畅通。
1,双向畅通,芳草地西巷,2023-03-16 16:42:46,芳草地西巷：双向畅通。
1,双向畅通,芳草地西街,2023-03-16 16:42:46,芳草地西街：双向畅通。
1,双向畅通,金桐西路,2023-03-16 16:42:46,金桐西路：双向畅通。
1,双向畅通,金汇路,2023-03-16 16:42:46,金汇路：双向畅通。
1,双向畅通,东大桥斜街,2023-03-16 17:02:33,东大桥斜街：双向畅通。
1,双向畅通,东大桥路,2023-03-16 17:02:33,东大桥路：双向畅通。
1,自南向北畅通,东大桥路辅路,2023-03-16 17:02:33,东大桥路辅路：自南向北畅通。
1,双向畅通,东草园胡同,2023-03-16 17:02:33,东草园胡同：双向畅通。
1,双向畅通,关东店北街,2023-03-16 17:02:34,关东店北街：双向畅通。
1,自北向南畅通；自南向北轻微拥堵,南三里屯路,2023-03-16 17:02:34,南三里屯路：自北向南畅通；自南向北轻微拥堵。
1,双向畅通,工人体育场东路,2023-03-16 17:02:34,工人体育场东路：双向畅通。
2,轻微拥堵,工人体育场南路,2023-03-16 17:02:34,工人体育场南路：轻微拥堵。
1,自东向西畅通,日坛东一街,2023-03-16 17:02:34,日坛东一街：自东向西畅通。
1,自西向东畅通,日坛东二街,2023-03-16 17:02:35,日坛东二街：自西向东畅通。
1,双向畅通,日坛东路,2023-03-16 17:02:35,日坛东路：双向畅通。
1,双向畅通,日坛北路,2023-03-16 17:02:35,日坛北路：双向畅通。
1,双向畅通,景东街,2023-03-16 17:02:35,景东街：双向畅通。
1,双向畅通,景华北街,2023-03-16 17:02:35,景华北街：双向畅通。
1,双向畅通,朝外南街,2023-03-16 17:02:35,朝外南街：双向畅通。
1,双向畅通,朝阳北路,2023-03-16 17:02:36,"朝阳北路：双向畅通；东向西,朝阳北路附近拥堵。"
2,双向畅通,朝阳门外大街,2023-03-16 17:02:36,朝阳门外大街：双向畅通。
1,双向畅通,朝阳门外大街辅路,2023-03-16 17:02:36,朝阳门外大街辅路：双向畅通。
1,双向畅通,秀水东街,2023-03-16 17:02:36,秀水东街：双向畅通。
1,双向畅通,芳草地北巷,2023-03-16 17:02:36,芳草地北巷：双向畅通。
1,双向畅通,芳草地西巷,2023-03-16 17:02:36,芳草地西巷：双向畅通。
1,双向畅通,芳草地西街,2023-03-16 17:02:37,芳草地西街：双向畅通。
1,双向畅通,金桐西路,2023-03-16 17:02:37,金桐西路：双向畅通。
1,双向畅通,金汇路,2023-03-16 17:02:37,金汇路：双向畅通。
1,双向畅通,东大桥斜街,2023-03-16 17:07:52,东大桥斜街：双向畅通。
1,双向畅通,东大桥路,2023-03-16 17:07:52,东大桥路：双向畅通。
1,自南向北畅通,东大桥路辅路,2023-03-16 17:07:53,东大桥路辅路：自南向北畅通。
1,双向畅通,东草园胡同,2023-03-16 17:07:53,东草园胡同：双向畅通。
1,双向畅通,关东店北街,2023-03-16 17:07:53,关东店北街：双向畅通。
1,双向畅通,南三里屯路,2023-03-16 17:07:53,南三里屯路：双向畅通。
2,自北向南畅通；自南向北轻微拥堵,工人体育场东路,2023-03-16 17:07:53,工人体育场东路：自北向南畅通；自南向北轻微拥堵。
2,轻微拥堵,工人体育场南路,2023-03-16 17:07:53,工人体育场南路：轻微拥堵。
1,自东向西畅通,日坛东一街,2023-03-16 17:07:54,日坛东一街：自东向西畅通。
1,自西向东畅通,日坛东二街,2023-03-16 17:07:54,日坛东二街：自西向东畅通。
1,双向畅通,日坛东路,2023-03-16 17:07:54,日坛东路：双向畅通。
1,双向畅通,日坛北路,2023-03-16 17:07:54,日坛北路：双向畅通。
1,双向畅通,景东街,2023-03-16 17:07:54,景东街：双向畅通。
2,双向畅通,景华北街,2023-03-16 17:07:54,景华北街：双向畅通。
1,双向畅通,朝外南街,2023-03-16 17:07:55,朝外南街：双向畅通。
1,双向畅通,朝阳北路,2023-03-16 17:07:55,"朝阳北路：双向畅通；东向西,朝阳北路附近拥堵；西向东,二道沟河路附近行驶缓慢。"
1,双向畅通,朝阳门外大街,2023-03-16 17:07:55,朝阳门外大街：双向畅通。
1,双向畅通,朝阳门外大街辅路,2023-03-16 17:07:55,朝阳门外大街辅路：双向畅通。
1,双向畅通,秀水东街,2023-03-16 17:07:55,秀水东街：双向畅通。
1,双向畅通,芳草地北巷,2023-03-16 17:07:55,芳草地北巷：双向畅通。
1,双向畅通,芳草地西巷,2023-03-16 17:07:56,芳草地西巷：双向畅通。
1,双向畅通,芳草地西街,2023-03-16 17:07:56,芳草地西街：双向畅通。
1,双向畅通,金桐西路,2023-03-16 17:07:56,金桐西路：双向畅通。
1,双向畅通,金汇路,2023-03-16 17:07:56,金汇路：双向畅通。
1,双向畅通,东大桥斜街,2023-03-16 17:13:10,东大桥斜街：双向畅通。
1,双向畅通,东大桥路,2023-03-16 17:13:10,东大桥路：双向畅通。
1,自南向北畅通,东大桥路辅路,2023-03-16 17:13:10,东大桥路辅路：自南向北畅通。
1,双向畅通,东草园胡同,2023-03-16 17:13:10,东草园胡同：双向畅通。
1,双向畅通,关东店北街,2023-03-16 17:13:10,关东店北街：双向畅通。
