congestion_distance,speed,status,congestion_trend,section_desc,name,time
570,14.82,2,加重,"南向北,工人体育场东路附近",东大桥路辅路,2023-03-16 18:48:25
610,14.45,2,加重,"东向西,从化家胡同到朝外市场街辅路",朝外南街,2023-03-19 17:25:19
540,15.17,2,加重,"东向西,从东大桥路辅路到神路街",朝外南街,2023-03-20 13:31:37
510,15.11,2,加重,"东向西,从化家胡同到神路街",朝外南街,2023-03-20 21:15:38
670,3.42,4,加重,"西向东,从东大桥路甲1到京广桥",朝阳门外大街辅路,2023-04-12 18:06:43
1200,7.38,4,加重,"南向北,从东大桥路辅路到南三里屯",工人体育场东路,2023-04-15 18:54:55
1200,7.27,4,加重,"南向北,从东大桥路辅路到南三里屯",工人体育场东路,2023-04-15 19:15:03
1200,8.08,4,加重,"南向北,从东大桥路辅路到南三里屯",工人体育场东路,2023-04-15 19:35:12
770,8.72,3,加重,"西向东,从朝阳门外大街路口到京广桥",朝阳门外大街辅路,2023-04-19 18:16:54
690,5.57,4,加重,"东向西,从东大桥路辅路到神路街",朝外南街,2023-04-19 21:18:10
